 Galaxy                         d_kpc Wr_CIV eWr_CIV
 SDSSJ100903.67+072201.1        452.1 <= 80
 SDSSJ080416.19+433821.0        452.1 <= 55
 SDSSJ105227.72-003624.2        454.9 <= 38
 SDSSJ145002.76+522422.5        455.2 <= 62
 2dFGRSN218Z179                 455.3 <= 17
 SDSSJ091246.59+085620.1        457.9 <= 39
 SDSSJ133302.99+314900.7        459.1 <= 39
 2MASXJ105111.43+335934.9       465.3 <= 16
 SDSSJ110026.99+145200.9        466.3 <= 37
 SDSSJ152855.84+283028.5        467.7 <= 21
 SDSSJ105906.61+145904.0        469.4 <= 24
 2MASXJ132645.78+443933.1       470.9 <= 66
 2MASXJ134208.21+382440.0       474.3 <= 30
 SDSSJ115217.86+543913.4        475.3 <= 17
 SDSSJ102945.54+504750.3        476.8 <= 30
 2MASXJ121056.34+315756.5       480.0 <= 28
 SDSSJ081915.38+224214.1        480.7 <= 32
 SDSSJ124623.33+481406.6        481.7 <= 31
 SDSSJ100806.93+022042.2        482.4 <= 18
 SDSSJ112152.89+411347.8        482.6 <= 19
 SDSSJ161939.33+334736.1        482.6 <= 21
 2MASXJ152406.39+095443.2       483.2 <= 18
 2MASXJ145739.38+263953.5       485.0 <= 23
 2dFGRSN280Z163                 486.0 <=  9
 SDSSJ134252.05+051415.2        486.9 <= 27
 SDSSJ115045.90+543935.2        488.6 <= 16
 2MASXJ170522.10+604207.5       489.7 <= 17
 SDSSJ092155.18+453404.3        489.8 <= 20
 SDSSJ091041.20+101601.8        489.8 <= 34
 SDSSJ134158.58-010046.7        492.6 <= 36
 SDSSJ040118.32-054025.5        493.9 <= 44
 SDSSJ025405.61-005236.6        494.0 <= 25
 SDSSJ100449.25+014148.2        495.0 <= 25
 2MASXJ111730.29+263804.7       496.7 <= 38
 SDSSJ162000.84+333246.1        496.7 <= 27
 SDSSJ111044.91+555252.8        497.6 <= 27
 SDSSJ100849.00+071204.7        498.3 <= 43
 SDSSJ113343.02+334037.9        498.9 <= 10
