 Galaxy               theta_arcsec   d_kpc  z_gal   z_Lya  Wr_HI eWr_HI Wr_SiIII eWr_SiIII Wr_SiII eWr_SiII Wr_SiIV eWr_SiIV Wr_CII eWr_CII Wr_CIV eWr_CIV     
 SDSSJ163231.92+373828.1        367.9 234.2 0.0319 -1.0       nan nan nan nan  <=  6    <=  8    <=  7    nan nan
 2MASXJ132209.25+464256.7       210.3 237.1 0.0582 -1.0       <=  45  <= 28    nan nan  <= 24   nan nan   <= 47
 GALEXASCJ031201.78-765518.3    208.0 238.6 0.0593  0.0595    170  11 <= 15    <=  8    <= 14    <= 26    <= 50
 2MASXJ121109.71+365506.0       163.8 240.8 0.0777  0.0777    552  21 <= 25    <= 16    <= 19    <= 26    <= 24
 SDSSJ125926.77+591734.9       1236.1 241.8 0.0095 -1.0       nan nan <= 23    <=  9    <= 13    <= 14    <= 19
 SDSSJ080338.03+432034.9        778.5 242.4 0.0153  0.0153    209  20 nan nan  <= 16    <= 45    <= 33    <= 38
 SDSSJ092617.38+452924.9        449.5 243.9 0.027   0.0261    453  10 <= 11    <=  9    <= 18    <= 15    <= 28
 SDSSJ113056.11+311445.6        176.0 249.1 0.0745  0.0744    324  11 <= 13    <=  7    <= 13    <= 19    <= 22
 2MASXJ161704.61+415200.5       217.4 251.2 0.0598 -1.0       nan nan nan nan  nan nan  nan nan  nan nan  <= 48
 2MASXJ100953.50+300202.5       122.6 252.6 0.1134  0.1137    524  15 <= 11    <= 11    <= 15    nan nan  <= 50
 SDSSJ113244.04+022824.8       3594.5 254.8 0.0034 -1.0       <=  50 nan nan  nan nan   <= 32    nan nan  <= 38
 2MASXJ120653.13+262534.4       379.7 256.4 0.0339  0.0339    122  15 <= 16    <= 25    <= 24    <= 30    <= 29
 SDSSJ143757.31+504432.0        307.5 261.0 0.0431  0.0424    261  22 <= 37    <= 39    <= 44    nan nan  <= 10
 SDSSJ083335.65+250847.1       1721.8 263.3 0.0074  0.0073    248  11 nan nan  <= 11    <= 17    nan nan  <= 31
 SDSSJ084358.51+411650.4        113.8 266.2 0.1314 -1.0       <=  56  <= 34    <= 29    <= 64    nan nan  <= 13
 SDSSJ093524.13+020509.9        104.3 271.9 0.1494  0.1494    535  30 <= 25    <= 61    nan nan  nan nan  nan nan
 2MASXJ134221.97+382650.6       171.8 273.1 0.0847  0.0848    298  14 <= 24    <= 14    <= 19    <= 34    <= 36
 SDSSJ112250.97+575335.0        137.0 275.5 0.1103  0.1104    435  18 <= 19    <= 25    nan nan  nan nan  <= 54
 SDSSJ103110.35+505211.0        114.8 278.6 0.1373  0.1374    238  10 nan nan  <= 12    nan nan  nan nan  <= 46
 SDSSJ234502.69-005552.8        225.9 280.6 0.0647  0.0649   1111  24 <= 19    <= 21    <= 26    nan nan  <= 52
 SDSSJ083607.41+250645.7        604.6 283.1 0.0232  0.0233    160  13 <= 14    <= 16    <= 16    <= 13    <= 30
 2MASXJ133027.09+311632.4       380.4 289.9 0.0384  0.0376    291  13 <= 13    <= 17    <= 17    <= 26    <= 31
 SDSSJ004214.99-104414.9        405.7 290.0 0.036  -1.0       <=   8  nan nan  nan nan  <= 23    nan nan  <= 50
 2MASXJ120427.89+275858.1       342.0 290.1 0.043   0.043     319  33 <= 24    <= 40    <= 19    <= 25    <= 43
 2MASXJ113326.13+032418.7       182.3 291.1 0.0851  0.0851    742  26 <= 39    <= 21    nan nan  <= 55    nan nan
 2MASXJ025942.96+003907.8       123.1 293.1 0.1342  0.1348    355  16 <= 22    nan nan  nan nan  nan nan  nan nan
 SDSSJ120345.06+273702.0       1278.5 293.4 0.0112  0.0106    181  23 <= 30    <= 24    <= 11    <= 42    <= 66
 NGC4939                       1395.9 296.7 0.0104 -1.0       <=  10  <= 10    <=  6    <= 19    <= 10    <=  8
 SDSSJ152840.62+282242.9        166.9 301.8 0.0978 -1.0       nan nan <= 10    <=  9    nan nan  nan nan  <= 20
 SDSSJ091225.86+095719.8       1991.9 302.8 0.0074  0.0071    188  28 nan nan  <= 27    <= 20    <= 19    <= 15
 2MASXJ123259.63-004158.0       627.6 304.1 0.024   0.0228    196  14 <= 16    <= 20    nan nan  <= 26    <= 33
 SDSSJ170325.13+603944.4        628.4 304.3 0.024  -1.0       nan nan <= 19    <= 11    <= 16    <= 20    <= 33
 2MASXJ083531.05+245607.6       221.6 307.1 0.0728 -1.0       <=  67  <= 20    <= 10    <= 16    <= 19    <= 23
 SDSSJ084555.38+413118.0       1634.8 311.0 0.0093  0.01      343  28 <= 64    <= 26    nan nan  <= 50    <= 53
 SDSSJ091532.45+300824.2       2391.1 311.5 0.0063 -1.0       <=  47  <= 41    <= 23    <= 38    <= 33    <= 39
 SDSSJ120701.76+262023.3        356.8 314.8 0.0449 -1.0       <=  29  nan nan  nan nan  <= 30    <= 17    <= 23
 ESO466-032                     924.2 321.1 0.0171  0.017     336  12 <= 11    <=  9    <= 13    <= 13    <= 19
 SDSSJ094409.09+055612.7       1583.4 328.2 0.0101 -1.0       <=  37  nan nan  <= 23    <= 36   nan nan   <= 49
 SDSSJ112517.67+590828.8        299.7 335.8 0.0578  0.0578    236  11 nan nan  <= 12    <= 14    <= 20    <= 25
 SDSSJ104901.52-003825.4       2662.9 337.5 0.0062 -1.0       <=  25  nan nan  <= 12    <= 15    <= 21    <= 26
 SDSSJ092721.06+454158.8        982.5 342.3 0.0171  0.017     183  10 nan nan  <= 16    <= 17    nan nan   <= 20
 SDSSJ114811.32+545930.4       2099.7 349.5 0.0081  0.0074    135   7 nan nan  <=  5    nan nan  <=  9    <= 11
 SDSSJ124438.60+335800.9        421.1 350.9 0.0422  0.0422    419  17 nan nan  <= 20    nan nan  <= 37    <= 43
 [PWC2011a]J215454.91-092330.8  118.2 352.3 0.176   0.1765    486   9 <=  9    <=  8    <= 22    <= 20    nan nan
 SDSSJ075111.00+291450.9        287.9 353.1 0.0638 -1.0       <=  10     <=  5 nan nan  <=  7   nan nan    <= 12
 SDSSJ101626.43+470411.1        157.2 353.1 0.1254  0.1252    299  20 nan nan  <= 21    nan nan nan nan   nan nan
 2MASXJ124145.87+571537.5       336.6 355.2 0.0543  0.0542    233  23 <= 16    <= 15    nan nan   <= 27    <= 27
 SDSSJ155106.11+361308.1       2065.6 357.0 0.0084  0.0075    109  14 nan nan  <= 10    <= 12    <=  9    <= 14
 SDSSJ123252.81-003236.4        179.6 361.9 0.1106 -1.0       <=  28     <= 18    <= 15  nan nan  nan nan    <= 47
 SDSSJ022617.97+001203.8        212.9 362.1 0.0913 -1.0       <=  51     <= 29    <= 15    <= 26    <= 36    <= 46
 SDSSJ123209.67-010543.0       2203.7 362.5 0.0080  0.0097    257  24   nan nan <= 15    <= 24    <= 26    <= 45
 SDSSJ114940.75+655543.8       3611.7 365.3 0.0049 -1.0       <=   8     <=  6    <=  4    <=  7    <=  8    <=  9
 SDSSJ113443.71+255455.4        190.5 365.5 0.1046  0.1048    741  21   nan nan  nan nan  nan nan nan nan  <= 44
 SDSSJ115042.63+543817.1        331.4 368.4 0.0574  0.0567    467   6 <=  6    <=  7    <=  9    <= 11     nan nan
 SDSSJ141925.48+420609.1        196.1 370.2 0.1027  0.1024    711  38  nan nan  <= 22     nan nan  nan nan    nan nan
 2MASXJ133050.37+311529.1       244.1 372.3 0.0809  0.0807    200  15  nan nan <= 14     nan nan  <= 45    <= 38
 SDSSJ121707.35+303836.0       6866.2 372.7 0.0026  0.0036    265  22 <= 28    nan nan  <= 28     nan nan   <= 31
 SDSSJ161845.58+334429.6        402.0 378.3 0.048   0.0481    100  12 <= 17    <= 20    nan nan   <= 18    <= 20
 [PWC2011a]J031158.58-764855.4  176.2 378.7 0.1191  0.1183    572  18 <= 16    <= 15    <= 27    <= 12     nan nan
 SDSSJ105146.64-005512.0        245.2 380.0 0.0824 -1.0       <=  23  nan nan    <= 12    <= 18    <= 32    <= 20
 SDSSJ084359.65+411443.4        211.8 381.3 0.0973  0.0977    960  40 <= 38    <= 32    nan nan    nan nan   nan nan
 2MASXJ095450.58+414859.8      2437.3 382.1 0.0076 -1.0       nan nan  nan nan  nan nan   <=  7    <=  7    <=  8
 SDSSJ000548.11+161123.4        185.9 382.9 0.1134 -1.0       <=  10     <=  8  nan nan   <= 10   nan nan    <= 15
 SDSSJ093402.38+551423.2       7245.7 384.9 0.0026 -1.0       <=  18     <=  8    <=  7    <=  8   nan nan   <=  6
 SDSSJ111843.28+212723.0        600.8 387.6 0.0323  0.0322    108   6 <=  4    nan nan  <=  3    <=  2    <= 13
 SDSSJ162152.54+332903.2       2112.6 391.6 0.0090  0.0078    565  13 nan nan   <= 10    <= 17    <= 20   nan nan
 SDSSJ140928.10+254724.3       1857.6 398.3 0.0105 -1.0      nan nan  nan nan   nan nan   <=  7    <=  7    <=  8
 2MASXJ091035.25+100827.5       356.0 398.5 0.0578  0.0579    387  55 nan nan   <= 34    <= 29    <= 51    <= 53
 2MASXiJ100427.0+284044         947.8 403.4 0.021  -1.0       nan nan   <= 18    <= 12    <= 19    <= 14    <= 30
 SDSSJ112225.88+580147.3        394.3 404.4 0.0526  0.0531    508  40 <= 17    <= 17    <= 19    <= 40    <= 38
 SDSSJ092110.81+455316.1       3149.9 406.1 0.0063 -1.0       nan nan  nan nan   <=  9    <= 21    <= 14    nan nan
 SDSSJ120839.97+454223.6        217.8 406.9 0.1015  0.1003    611   9 <=  8     nan nan   nan nan  <= 36    nan nan
 SDSSJ133108.64+311853.2        200.5 410.8 0.1127  0.1129    181  14 <= 16     nan nan  nan nan  nan nan   <= 50
 SDSSJ120731.10+255336.1       1858.0 411.2 0.0108  0.0103    365  30 <= 28     <= 18    <= 26    <= 30    <= 47
 SDSSJ110606.70+342104.9        428.3 417.0 0.0498 -1.0       <=  17  <=  9     nan nan  nan nan  <= 16    <= 23
 SDSSJ143441.66+355922.9        479.6 417.9 0.0443 -1.0       nan nan  nan nan   <= 29    <= 21  nan nan    <= 62
 2MASXJ091923.23+553137.1       659.2 418.6 0.0318  0.0317    217   6 <=  6    <=  7    <=  9    <=  7    <= 20
 SDSSJ123757.78+571343.9       1965.6 419.8 0.0104 -1.0       nan nan  <= 18    <= 14    <= 24    <= 25    <= 26
 2MASXJ101509.81+465954.9       848.1 423.2 0.0248 -1.0       <=  27     <= 16    <= 17    <= 31  nan nan   <= 78
 2MASXiJ110718.5+764141        1213.5 424.4 0.0172 -1.0       nan nan   <= 16    <= 13    <= 28    <= 10    <= 18
 SDSSJ111155.20+352947.3        790.2 424.7 0.0267  0.0273    250  26 <= 24    <= 30    <= 42    <= 41    <= 81
 2MASXJ110257.53+414603.4       302.6 428.4 0.0745 -1.0      nan nan  <= 29   nan nan   <= 24      nan nan  <= 32
 2MASXJ140916.38+262444.2       396.4 431.8 0.0561  0.0561    204   3   nan nan  <=  5    <=  7     nan nan   <= 11
 SDSSJ091452.64+282437.5        174.9 434.3 0.141  -1.0       <=  31     <= 20     nan nan  nan nan  nan nan    <= 45
 SDSSJ095638.90+411646.0        173.6 435.1 0.1426  0.1423    268   5 <=  5    <=  6    <= 10     nan nan  <= 17
 2MASXJ024248.74-082356.3      1482.7 436.6 0.0144 -1.0       <=  44     <= 22    <= 28     nan nan <= 30    <= 67
 2MASXJ111125.61+554435.8       179.6 436.7 0.1376  0.1385    542   5 <=  9    <= 10    <= 24    nan nan   <= 33
 SDSSJ095545.56+413429.8       1371.9 437.6 0.0157 -1.0       nan nan   <=  4    <=  3    <=  7    <=  6    <= 11
 SDSSJ100408.72+063037.7       5076.6 438.3 0.0042 -1.0       nan nan   nan nan   <= 18   nan nan    <= 34   nan nan
 SDSSJ110512.74+250352.3       4335.3 438.4 0.0049 -1.0       <=  31     <= 24    <= 14    <= 24    nan nan   <= 25
 SDSSJ111349.83+213115.7       4509.7 439.4 0.0047  0.0049    106   7 <=  3    nan nan   <=  8    <=  7    <=  8
 SDSSJ144653.20+402944.9        331.3 441.1 0.0697  0.0697    162  12 <= 11    <= 12    <= 24    <= 24    <= 48
 SDSSJ075106.86+290430.0        911.2 442.4 0.0241  0.024      32   3   nan nan   <=  5    <=  8    <=  9    <= 12
 2MASXJ134245.88+391303.8      2645.3 444.3 0.0082 -1.0       <=  21      nan nan   <= 13    <= 17    <= 27    <= 27
 SDSSJ115840.97-003549.8       1027.4 444.7 0.0214  0.0207    359  16 <= 18    <= 20    <= 32    <= 28    <= 37
 SDSSJ004208.22-102929.1        536.4 445.3 0.0421  0.042     239  19 <= 19    <= 17    <= 24    <= 31    <= 73
 SDSSJ082610.25+074420.5        357.7 446.0 0.0649 -1.0       nan nan  <= 16    <= 14    <= 25    <= 32    <= 53
 SDSSJ114015.59+655551.7        495.6 446.7 0.0459 -1.0      nan nan  <=  4     nan nan    nan nan  <=  7    <= 12
 SDSSJ100903.67+072201.1        497.8 452.1 0.0462 -1.0      nan nan    nan nan   nan nan   <= 29    <= 35    <= 80
 SDSSJ080416.19+433821.0        371.5 452.1 0.0632  0.0639   1375  88 <= 30    <= 20       nan nan  <= 33    <= 55
